,Unnamed: 0,name,model,maker,prefix,postfix
162,162,현대 쏘나타 NF,쏘나타,현대,0,NF
163,163,기아 K5 DL3,K5,기아,0,0
166,166,쌍용 티볼리,티볼리,쌍용,0,0
167,167,현대 더뉴그랜드 스타렉스 TQ,스타렉스,현대,더뉴그랜드,TQ
168,168,SM5,SM5,르노삼성,0,0
175,175,현대 HEV 쏘나타 DN8,쏘나타,현대,HEV,DN8
176,176,르노삼성 SM6,SM6,르노삼성,0,0
177,177,그랜드카니발,카니발,기아,그랜드,0
178,178,쌍용 G4 렉스턴 Y400,렉스턴,쌍용,G4,Y400
180,180,기아 카니발,카니발,기아,0,0
181,181,현대 넥쏘 FE,넥쏘,현대,0,FE
182,182,QM5,QM5,르노삼성,0,0
186,186,르노삼성 더뉴 QM6 HZG,QM6,르노삼성,0,0
188,188,현대 4세대(출시예정) 투싼 NX4,NX,렉서스,0,0
189,189,포르테,포르테,토요타,0,0
192,192,더뉴소렌토,0,0,0,0
193,193,포터,0,0,0,0
194,194,기아 니로,니로,기아,0,0
195,195,올뉴쏘렌토,쏘렌토,기아,올뉴,0
196,196,싼타페 DM,싼타페,현대,0,DM
199,199,기아 1열 봉고,1열 봉고,기아,0,0
200,200,기아 프리미어 K7 YG,K7,기아,프리미어,YG
201,201,올뉴K7,K7,기아,올뉴,0
203,203,아반떼 MD,아반떼,현대,0,MD
205,205,코란도C,코란도,쌍용,C,0
206,206,기아 스포티지,스포티지,기아,0,0
208,208,쉐보레/한국GM 스파크,스파크,쉐보레/한국GM,0,0
209,209,현대 슈퍼캡 2 1열 포터 HR,1열 포터,현대,슈퍼캡 2,HR
210,210,뉴스포티지 R,스포티지,기아,R,0
211,211,기아 EV 니로 DE,니로,기아,EV,DE
212,212,현대 아반떼 AD,아반떼,현대,0,AD
213,213,올란도,올란도,쉐보레,0,0
214,214,E300,0,0,0,0
217,217,클리오,클리오,르노,0,0
218,218,기아 트럭 3 1열 봉고 PU,1열 봉고,기아,트럭 3,PU
219,219,현대 그랜저 HG,그랜저,현대,0,HG
220,220,벤츠 C-클래스,C-클래스,벤츠,0,0
222,222,기아 뉴R 쏘렌토 XM,쏘렌토,기아,뉴R,XM
223,223,GLA,0,0,0,0
224,224,현대 싼타페 CM,싼타페,현대,0,CM
225,225,현대 코나 OS,코나,현대,0,OS
227,227,아이오닉,아이오닉,현대,0,0
228,228,기아 올뉴 쏘렌토 UM,쏘렌토,기아,올뉴,UM
229,229,쌍용 칸 렉스턴 스포츠 Q200,렉스턴 스포츠,쌍용,0,0
231,231,QM3,QM3,르노삼성,0,0
233,233,아우디 A6,A6,아우디,0,0
234,234,SM6탈리스만,SM6,르노삼성,0,0
235,235,기아 2열 봉고,2열 봉고,기아,0,0
236,236,현대 아반떼 MD,아반떼,현대,0,MD
237,237,S클래스,0,0,0,0
240,240,쏘렌토R,쏘렌토,기아,R,0
241,241,스포티지,스포티지,기아,0,0
242,242,기아 모하비 HM,모하비,기아,0,HM
245,245,베라크루즈,베라크루즈,현대,0,0
246,246,현대 그랜저 TG,그랜저,현대,0,TG
247,247,기아 K3,K3,기아,0,0
248,248,현대 2열 포터,2열 포터,현대,0,0
249,249,벤츠 S-클래스,S-클래스,벤츠,0,0
250,250,볼트EV,볼트,쉐보레/한국GM,0,EV
254,254,기아 올뉴 카니발 YP,카니발,기아,올뉴,YP
256,256,현대 쏘나타,쏘나타,현대,0,0
257,257,르노삼성 QM3,QM3,르노삼성,0,0
258,258,기아 4세대 HEV 쏘렌토 MQ4,쏘렌토,기아,4세대 HEV,MQ4
259,259,토요타 RAV4,RAV4,토요타,0,0
260,260,볼보 XC40,XC40,볼보,0,0
261,261,뉴스포티지,스포티지,기아,뉴,0
263,263,스토닉,스토닉,기아,0,0
265,265,쌍용 렉스턴 스포츠,렉스턴 스포츠,쌍용,0,0
267,267,GLE,0,0,0,0
268,268,기아 더 마스터 모하비 HM,모하비,기아,0,HM
270,270,BMW 5 시리즈 G30/31,5 시리즈,BMW,0,0
273,273,프라이드,프라이드,기아,0,0
274,274,아슬란,아슬란,현대,0,0
275,275,더넥스트스파크,스파크,쉐보레/한국GM,더넥스트,0
277,277,기아 마이스터 스팅어 CK,스팅어,기아,마이스터,CK
278,278,현대 신형 에쿠스 VI,에쿠스,현대,신형,VI
279,279,제네시스 G90 HI,제네시스,현대,0,0
280,280,THE K9,K9,기아,0,0
281,281,벤츠 E-클래스,E-클래스,벤츠,0,0
282,282,포드 All New 익스플로러,익스플로러,포드,All New,0
283,283,스팅어,스팅어,기아,0,0
284,284,맥스크루즈,맥스크루즈,현대,0,0
285,285,올뉴스포티지,스포티지,기아,뉴,0
286,286,르노삼성 QM6,QM6,르노삼성,0,0
289,289,현대 더뉴 N 투싼 TL,TL,아큐라,0,0
290,290,현대 EV 코나 OS,코나,현대,EV,OS
291,291,토요타 RAV4 2019년형,RAV4,토요타,0,0
294,294,쉐보레/한국GM 더뉴 트랙스 U200,트랙스,쉐보레/한국GM,0,0
295,295,벤츠 GLE-클래스,GLE-클래스,벤츠,0,0
296,296,알페온,알페온,쉐보레/한국GM,0,0
298,298,쌍용 렉스턴 스포츠 Q200,렉스턴 스포츠,쌍용,0,0
299,299,i40,i40,현대,0,0
300,300,스포티지R,스포티지,기아,R,0
302,302,올뉴K3,K3,기아,올뉴,0
305,305,현대 베뉴,베뉴,현대,0,0
306,306,제네시스 G70,제네시스,현대,0,0
308,308,현대 트랜스폼 쏘나타 NF,쏘나타,현대,트랜스폼,NF
309,309,현대 쏘나타 YF,쏘나타,현대,0,YF
310,310,르노삼성 뉴 QM3,QM3,르노삼성,0,0
311,311,현대 베뉴 QX1,QX,인피니티,0,0
315,315,토요타 RAV4 2020년형,RAV4,토요타,0,0
317,317,더뉴레이,레이,기아,더뉴,0
319,319,기아 더뉴 K5 TF,K5,기아,0,0
321,321,익스플로러,익스플로러,포드,0,0
323,323,현대 더럭셔리 그랜저 TG,그랜저,현대,더럭셔리,TG
325,325,쌍용 렉스턴,렉스턴,쌍용,0,0
327,327,기아 모닝,모닝,기아,0,0
328,328,캠리,캠리,토요타,0,0
330,330,아발론,아발론,토요타,0,0
331,331,현대 더뉴 투싼 TL,TL,아큐라,0,0
332,332,토요타 캠리,캠리,토요타,0,0
334,334,르노삼성 뉴신형 SM5 L43,SM5,르노삼성,0,0
336,336,현대 아반떼 HD,아반떼,현대,0,HD
340,340,SM3,SM3,르노삼성,0,0
341,341,싼타페TM,싼타페,현대,0,TM
343,343,로체,로체,기아,0,0
345,345,토요타 캠리 2020년형,캠리,토요타,0,0
346,346,320d,0,0,0,0
348,348,기아 부스터 쏘울 SK3,K3,기아,부스터,SK3
349,349,그랜저IG,그랜저,현대,0,IG
352,352,아반떼ad,아반떼,현대,0,0
353,353,K7하이브리드,K7,기아,하이브리드,0
355,355,올뉴투싼TL,TL,아큐라,0,0
356,356,기아 더뉴 카니발 YP,카니발,기아,더뉴,YP
357,357,싼타페DM,싼타페,현대,0,DM
358,358,아우디 A4,A4,아우디,0,0
359,359,YF소나타,0,0,0,0
360,360,그랜저HG,그랜저,현대,0,HG
361,361,쌍용 코란도 스포츠,코란도 스포츠,쌍용,0,0
362,362,쌍용 코란도,코란도,쌍용,0,0
363,363,더뉴K5,K5,기아,0,0
364,364,기아 뉴 모닝 SA,모닝,기아,뉴,SA
365,365,싼타페CM,싼타페,현대,0,CM
366,366,르노삼성 XM3,XM3,르노삼성,0,0
369,369,그랜저IG하이브리드,그랜저,현대,0,IG
374,374,투싼IX,투싼,현대,0,0
378,378,GLC,LC,렉서스,0,0
379,379,아반떼HD,아반떼,현대,0,HD
380,380,그랜져TG,0,0,0,0
385,385,C클래스,0,0,0,0
387,387,현대 뉴라이즈 쏘나타 LF,쏘나타,현대,뉴라이즈,LF
389,389,기아 더뉴 K7 VG,K7,기아,더뉴,VG
390,390,르노삼성 SM7,SM7,르노삼성,0,0
393,393,CR-V,CR-V,혼다,0,0
395,395,현대 제네시스 DH,제네시스,현대,0,DH
396,396,쌍용 뉴C 코란도 C200,코란도,쌍용,0,0
399,399,C220,0,0,0,0
402,402,벤츠 CLS-클래스,CLS-클래스,벤츠,0,0
403,403,랜드로버 디스커버리,디스커버리,랜드로버,0,0
408,408,기아 오피러스,오피러스,기아,0,0
411,411,쏘나타LF,쏘나타,현대,0,LF
412,412,NF쏘나타,쏘나타,현대,0,NF
420,420,르노삼성 SM5,SM5,르노삼성,0,0
421,421,현대 제네시스 BH,제네시스,현대,0,BH
422,422,스포티지QL,스포티지,기아,0,QL
423,423,현대 쏘나타 dn8,쏘나타,현대,0,0
424,424,현대 싼타페TM,싼타페,현대,0,TM
425,425,쉐보레 트레일블레이저,트레일블레이저,쉐보레,0,0
426,426,기아 K9,K9,기아,0,0
427,427,NewSM5,SM5,르노삼성,0,0
428,428,기아 R 스포티지 SL,스포티지,기아,R,SL
429,429,현대 제네시스,제네시스,현대,0,0
430,430,NewSM3,SM3,르노삼성,0,0
431,431,현대 그랜저IG하이브리드,그랜저,현대,0,IG
432,432,현대 그랜저IG,그랜저,현대,0,IG
433,433,벤츠 GLC-클래스,GLC-클래스,벤츠,0,0
435,435,기아 더뉴카니발,카니발,기아,더뉴,0
437,437,현대 더뉴그랜저(IG),그랜저,현대,뉴,IG
438,438,현대 i30,i30,현대,0,0
441,441,현대 그랜져,0,0,0,0
442,442,현대 포터2,0,0,0,0
443,443,SM7,SM7,르노삼성,0,0
444,444,쌍용 렉스턴스포츠,스포츠,르노,0,0
445,445,제네시스 G90,제네시스,현대,0,0
446,446,현대 올뉴투싼TL,TL,아큐라,0,0
451,451,기아 쏘렌토 mq4,쏘렌토,기아,0,0
453,453,제네시스 G70 IK,제네시스,현대,0,0
455,455,제네시스 G80 DH,제네시스,현대,0,DH
456,456,기아 모하비,모하비,기아,0,0
458,458,볼보 S60,S60,볼보,0,0
463,463,현대 벨로스터,벨로스터,현대,0,0
464,464,아우디 Q7,Q7,아우디,0,0
467,467,현대 엑센트,엑센트,현대,0,0
471,471,쌍용 G4렉스턴,렉스턴,쌍용,G4,0
473,473,쉐보레/한국GM 블레이저 1세대,블레이저,쉐보레,0,1세대
474,474,기아 더뉴소렌토,0,0,0,0
476,476,제네시스EQ900,EQ900,제네시스,0,0
481,481,볼보 XC60,XC60,볼보,0,0
483,483,기아 올뉴모닝,모닝,기아,올뉴,0
487,487,벤츠 E-클래스 세단 W213,E-클래스,벤츠,0,세단 W213
488,488,르노삼성 뉴플래티넘 SM5 L43,SM5,르노삼성,0,0
489,489,기아 올뉴K7,K7,기아,올뉴,0
490,490,쉐보레/한국GM 더넥스트 스파크 M400,스파크,쉐보레/한국GM,0,M400
492,492,현대 엑센트 RB,엑센트,현대,0,RB
495,495,현대 아이오닉,아이오닉,현대,0,0
500,500,NEWSM6,SM6,르노삼성,0,0
501,501,폭스바겐 티구안,티구안,폭스바겐,0,0
502,502,기아 스팅어,스팅어,기아,0,0
507,507,현대 스타렉스 TQ,스타렉스,현대,0,TQ
513,513,쉐보레/한국GM 2세대 트래버스,트래버스,쉐보레,2세대,2세대
514,514,테슬라 모델 3,모델 3,테슬라,0,0
516,516,쉐보레/한국GM 콜로라도,콜로라도,홀덴,0,0
517,517,BMW X6,X6,BMW,0,0
518,518,볼보 XC90,XC90,볼보,0,0
519,519,현대 아반떼ad,아반떼,현대,0,0
523,523,벤츠 new E-Class,0,0,0,0
527,527,쉐보레/한국GM 트래버스,트래버스,쉐보레,0,0
528,528,현대 HEV 코나 OS,코나,현대,HEV,OS
529,529,현대 뉴ix 투싼 LM,투싼,현대,0,0
532,532,현대 N 벨로스터 JS,벨로스터,현대,N,JS
536,536,현대 i30 PD,i30,현대,0,0
539,539,RAV4,RAV4,토요타,0,0
550,550,기아 더 뉴 니로 DE,니로,기아,더 뉴,DE
553,553,현대 에쿠스,에쿠스,현대,0,0
555,555,윈스톰,윈스톰,쉐보레/한국GM,0,0
556,556,현대 더뉴 아반떼 AD,아반떼,현대,더뉴,AD
557,557,기아 포르테,포르테,토요타,0,0
559,559,기아 더뉴 K5 JF,K5,기아,0,0
560,560,벤츠 CLA-클래스,CLA-클래스,벤츠,0,0
561,561,기아 스포티지QL,스포티지,기아,0,QL
562,562,기아 올뉴 모닝 JA,모닝,기아,올뉴,JA
565,565,볼보 S90,S90,볼보,0,0
569,569,르노삼성 XM3 LJL,XM3,르노삼성,0,0
571,571,기아 더뉴R 스포티지 SL,스포티지,기아,더뉴R,SL
576,576,528i,0,0,0,0
577,577,르노삼성 클리오,클리오,르노,0,0
580,580,NewSM7,SM7,르노삼성,0,0
585,585,기아 스토닉 YB,스토닉,기아,0,YB
587,587,S350,S3,아우디,0,0
588,588,제네시스G80,제네시스,현대,0,0
591,591,벤츠 new C-Class,0,0,0,0
592,592,BMW 3 시리즈,3 시리즈,BMW,0,0
593,593,기아 K5 TF,K5,기아,0,0
595,595,현대 HEV 그랜저 HG,그랜저,현대,HEV,HG
597,597,기아 포르테 TD,포르테,토요타,0,TD
600,600,르노삼성 SM3,SM3,르노삼성,0,0
601,601,기아 더뉴 모닝 TA,모닝,기아,더뉴,TA
606,606,제네시스G90,제네시스,현대,0,0
609,609,카니발하이리무진,카니발,기아,0,0
610,610,현대 HEV 쏘나타 YF,쏘나타,현대,HEV,YF
617,617,코란도스포츠,코란도,쌍용,0,0
618,618,기아 F/L (출시예정) K3 BD,K3,기아,F/L (출시예정),BD
619,619,기아 올뉴 HEV K7 YG,K7,기아,올뉴 HEV,YG
622,622,기아 올뉴 K7 YG,K7,기아,올뉴,YG
625,625,현대 HEV 그랜저 IG,그랜저,현대,HEV,IG
636,636,현대 베라크루즈 EN,베라크루즈,현대,0,0
640,640,르노삼성 SM3 L38,SM3,르노삼성,0,0
641,641,벤츠 A-클래스,A-클래스,벤츠,0,0
644,644,BMW 5 시리즈 F10/11,5 시리즈,BMW,0,0
646,646,현대 더 뉴 HEV 아이오닉 AE,아이오닉,현대,더 뉴 HEV,AE
648,648,제네시스 EQ900,EQ900,제네시스,0,0
650,650,엑센트,엑센트,현대,0,0
651,651,기아 뉴 스포티지 KM,스포티지,기아,뉴,KM
655,655,폭스바겐 파사트,파사트,폭스바겐,0,0
658,658,볼보 V60,V60,볼보,0,0
659,659,뉴쏘렌토R,쏘렌토,기아,뉴,0
664,664,프리우스,프리우스,토요타,0,0
669,669,기아 K7 VG,K7,기아,0,VG
670,670,쉐보레/한국GM 말리부,말리부,쉐보레/한국GM,0,0
671,671,렉서스 ES,ES,렉서스,0,0
674,674,기아 K3 YD,K3,기아,0,YD
675,675,기아 더SUV 스포티지 QL,스포티지,기아,더SUV,QL
686,686,현대 벨로스터 JS,벨로스터,현대,0,JS
693,693,GT,0,0,0,0
696,696,기아 더마스터 쏘렌토 UM,쏘렌토,기아,0,UM
698,698,닛산 알티마,알티마,닛산,0,0
700,700,쉐보레/한국GM 볼트 EV,볼트,쉐보레/한국GM,0,EV
702,702,현대 베라크루즈,베라크루즈,현대,0,0
703,703,혼다 어코드,어코드,혼다,0,0
705,705,BMW 5 시리즈,5 시리즈,BMW,0,0
706,706,기아 더뉴 하이리무진 카니발 YP,카니발,기아,더뉴 하이리무진,YP
709,709,르노삼성 SM6 LFD,SM6,르노삼성,0,0
710,710,BMW 7시리즈,0,0,0,0
713,713,르노삼성 노바 SM7 L47,SM7,르노삼성,노바,L47
714,714,토요타 캠리 2019년형,캠리,토요타,0,0
715,715,현대 올뉴 투싼 TL,TL,아큐라,0,0
730,730,현대 더프라임 싼타페 DM,싼타페,현대,더프라임,DM
731,731,포드 익스플로러,익스플로러,포드,0,0
732,732,현대 더뉴 아반떼 MD,아반떼,현대,더뉴,MD
735,735,렉서스 ES시리즈,ES,렉서스,0,0
736,736,기아 더 K9 RJ,K9,기아,더,RJ
742,742,도요타시에나,시에나,토요타,0,0
744,744,E200,0,0,0,0
745,745,혼다 어코드 2019년형,어코드,혼다,0,0
761,761,르노삼성 뉴임프레션 SM5 EX1/DF,SM5,르노삼성,0,0
762,762,르노삼성 QM6 HZG,QM6,르노삼성,0,0
763,763,BMW X5,X5,BMW,0,0
774,774,아우디 A8,A8,아우디,0,0
777,777,벤츠 더뉴 C-클래스 세단 W205,C-클래스,벤츠,0,0
778,778,코란도투리스모,코란도,쌍용,0,0
786,786,현대 2 1열 포터 HR,1열 포터,현대,0,HR
787,787,기아 더마스터 모하비 HM,모하비,기아,0,HM
790,790,캡티바,캡티바,홀덴,0,0
796,796,르노삼성 노바 SM5 L43,SM5,르노삼성,0,0
797,797,렉서스 RX 2019년형,0,0,0,0
800,800,그랜져5G,0,0,0,0
806,806,기아 R 카니발 VQ,카니발,기아,R,VQ
807,807,BMW3시리즈,0,0,0,0
809,809,임팔라,임팔라,쉐보레,0,0
811,811,기아 더뉴 쏘렌토 UM,쏘렌토,기아,더뉴,UM
813,813,벤츠 GLA-클래스,GLA-클래스,벤츠,0,0
814,814,기아 K3 GT YD,K3 GT,기아,0,0
818,818,제네시스G70,제네시스,현대,0,0
819,819,BMW5시리즈,0,0,0,0
820,820,제네시스 EQ900 HI,EQ900,제네시스,0,0
827,827,파일럿,파일럿,혼다,0,0
836,836,기아 그랜드 카니발 VQ,카니발,기아,그랜드,VQ
881,881,벤츠 new S-Class,0,0,0,0
883,883,벤츠 E-클래스 W213,E-클래스,벤츠,0,0
884,884,기아 프리미어 K7 YG F/L,K7,기아,프리미어,YG
891,891,현대 F/L 투싼 TL,TL,아큐라,0,0
894,894,오피러스,오피러스,기아,0,0
897,897,제네시스 F/L G90 HI,제네시스,현대,0,0
898,898,기아 더뉴 모하비 HM,모하비,기아,0,HM
900,900,현대 1열 포터 2 HR,1열 포터,현대,0,HR
905,905,현대 2열 포터 2 HR,2열 포터,현대,0,HR
906,906,기아 더 뉴 하이브리드 니로 DE,니로,기아,더 뉴,DE
911,911,쌍용 아머 티볼리 X110,티볼리,쌍용,0,X110
913,913,기아 CUV 스토닉 YB,스토닉,기아,0,YB
917,917,쌍용 베리 뉴 티볼리,티볼리,쌍용,베리 뉴,0
919,919,기아 스팅어 CK,스팅어,기아,0,CK
920,920,기아 트럭 1열 봉고 3 PU,1열 봉고,기아,0,PU
924,924,BMW X3,X3,BMW,0,0
926,926,벤츠 CLS-클래스 C257,CLS-클래스,벤츠,0,0
930,930,undefined undefined,0,0,0,0
939,939,쉐보레/한국GM 올 뉴 말리부 V400,말리부,쉐보레/한국GM,0,0
950,950,기아 PHEV 니로 DE,니로,기아,PHEV,DE
956,956,기아 쏘울 부스터 SK3,K3,기아,부스터,SK3
969,969,NIRO,0,0,0,0
973,973,기아 쏘울,쏘울,기아,0,0
1005,1005,혼다 어코드 2020년형,어코드,혼다,0,0
1007,1007,S450,S4,아우디,0,0
1009,1009,아반떼MD,아반떼,현대,0,MD
1018,1018,아이오닉하이브리드,아이오닉,현대,0,0
1024,1024,현대 맥스크루즈,맥스크루즈,현대,0,0
1027,1027,LF쏘나타,쏘나타,현대,0,LF
1051,1051,제네시스G80스포츠,제네시스,현대,0,0
1052,1052,BMW 6 시리즈 GT,6 시리즈 GT,BMW,0,0
1054,1054,쉐보레/대우 더뉴 스파크 M400,스파크,쉐보레/한국GM,0,M400
1061,1061,소나타 뉴라이즈,0,0,0,0
1063,1063,쉐보레/대우 더 뉴 말리부 V400,말리부,쉐보레/한국GM,0,0
1068,1068,소나타하이브리드,0,0,0,0
1069,1069,쉐보레/대우 더뉴 트랙스 U200,트랙스,쉐보레/한국GM,0,0
1078,1078,쉐보레/대우 말리부,말리부,쉐보레/한국GM,0,0
1080,1080,BMW 7 시리즈,7 시리즈,BMW,0,0
1085,1085,쉐보레/대우 트랙스,트랙스,쉐보레/한국GM,0,0
1091,1091,쉐보레/대우 스파크,스파크,쉐보레/한국GM,0,0
1092,1092,NX300h,NX,렉서스,0,0
1115,1115,오디세이,0,0,0,0
1130,1130,RX 450h,0,0,0,0
1133,1133,530i,0,0,0,0
1179,1179,BMWNEW5시리즈,0,0,0,0
1198,1198,쉐보레/대우 F/L 말리부 V400,말리부,쉐보레/한국GM,0,0
1209,1209,기아 더뉴 K3 YD,K3,기아,더뉴,YD
1223,1223,토요타프리우스C,프리우스C,토요타,0,0
1235,1235,렉서스 ES 2019년형,ES,렉서스,0,0
1236,1236,LF소나타,0,0,0,0
1282,1282,레인지로버스포츠,레인지로버,랜드로버,0,0
1293,1293,디스커버리스포츠,디스커버리,랜드로버,0,0
1295,1295,G4 렉스턴,렉스턴,쌍용,G4,0
1320,1320,그랜드 스타렉스,스타렉스,현대,0,0
1331,1331,올 뉴 카니발,카니발,기아,뉴,0
1354,1354,BMW X3 G01,X3,BMW,0,G01
1358,1358,렉서스 ES 2021년형,ES,렉서스,0,0
1363,1363,제네시스 더 뉴 G70 IK,제네시스,현대,0,0
1365,1365,렉서스 ES 2020년형,ES,렉서스,0,0
1366,1366,BMW 7 시리즈 G11/12,7 시리즈,BMW,0,G11/12
1367,1367,포르쉐 카이엔,카이엔,포르쉐,0,0
1372,1372,쌍용 올 뉴 G4 렉스턴 Y400,렉스턴,쌍용,올 뉴 G4,Y400
1381,1381,벤츠 S-클래스 W222,S-클래스,벤츠,0,W222
1387,1387,쉐보레/한국GM 블레이저,블레이저,쉐보레,0,0
1389,1389,BMW X7,X7,BMW,0,0
1392,1392,르노삼성 더 뉴 SM6 LFD,SM6,르노삼성,0,0
1407,1407,BMW X5 G05,X5,BMW,0,0
