,store,new_store,works,region
141,6962740340b12793323b7315c898081d,충청북도_29,236,충청북도
142,f28b4e20cf5941b2ee5253cd8e3fbd43,충청북도_18,36,충청북도
143,a20dd0ebae24421aa5ebb73e3c010d48,강원도_17,653,강원도
144,8457c6a50658ae82bf6fa47b0e432794,경기도_8,595,경기도
145,daa18e9617dd4f3d3d652da284e84a1b,인천광역시_71,1680,인천광역시
146,31676e5483f0646b21273b1b54f8a824,경기도_218,676,경기도
147,44c138e0010191d94a86386daadfd9ef,부산광역시_26,1954,부산광역시
148,bbaa13fa0ed42447237556cf5607da23,부산광역시_87,46,부산광역시
149,4136041d4d16ffe310617a2f2ea88161,서울특별시_101,349,서울특별시
150,a86654eff42a50c682800155a72f97e7,경상남도_44,341,경상남도
151,06a57681ef917d1c5255eef07ad3c910,경기도_236,508,경기도
152,26f6c4d9e82aee2b5b451aee2821b657,서울특별시_104,727,서울특별시
153,ba3d766fdefb79951c93e716b69057d6,경기도_186,1027,경기도
154,5a967ad71a5e1b3afd5f405b578012f7,서울특별시_122,396,서울특별시
155,169b78b913ffe07978845e5914d02635,서울특별시_24,702,서울특별시
156,911e75873bdbfb846767aca8f59eefb0,경상북도_44,56,경상북도
157,eb539635c5f4776ce9b98808510a7218,경상북도_33,206,경상북도
158,3e4230ca2efd762ebc352ec3c0c3bd35,경상북도_54,151,경상북도
159,47689c95927eff127065739b4e821cba,경상북도_58,19,경상북도
160,fd5e7e47851b1351d1cc94778ee5d816,경상북도_80,10,경상북도
161,513cc33891f90aae9ceee7e2f4a969fd,제주특별자치도_0,327,제주특별자치도
162,d512b094429c46d3767066548496d8f4,제주특별자치도_10,157,제주특별자치도
163,4592b45f350a5c48c79213e80d65f2bb,부산광역시_42,909,부산광역시
164,a6891bd8adffe3c6f223336175c6c663,경기도_246,1175,경기도
165,414e3911782882f3ca1917d369cc9846,서울특별시_98,1788,서울특별시
166,6625e22b5ad37c4d4eda3e173b44bf86,서울특별시_33,1420,서울특별시
167,d2852b4e24424c0c747d5c416ac75031,인천광역시_75,1387,인천광역시
168,b1cc476baf8058981d40e31994c00a11,인천광역시_66,1204,인천광역시
169,035370924630773e7a7ecb7e8ef425fb,경기도_241,3159,경기도
170,b1d58c7d42f616835b21f02bf94c2091,경기도_9,56,경기도
171,3febe2072ac79b170145903144fe5014,경기도_174,2714,경기도
172,7fb78048e914e4e869c3873db1214ea5,경기도_0,375,경기도
173,4b0dbff06a7b7be9275755281c0af83c,경기도_243,305,경기도
174,56d67e04a35a2abb2cb0396fa9eddb87,경기도_327,22,경기도
175,d48eda5f6a62ab94097d858187359aad,경기도_157,19,경기도
176,45a0d54752a021bb34456f6476c99cdc,광주광역시_9,4015,광주광역시
177,07e736ec40fab02c724626ddd0b5445b,대구광역시_19,934,대구광역시
178,f5a26665e9d1d9fdd4fe6f486b94597c,대구광역시_40,1750,대구광역시
179,a28205b90db5b35be2876ee3a6a26fc7,대구광역시_8,443,대구광역시
180,510cd27307d827bd61d42d1dd4dfe947,경기도_244,1797,경기도
181,87fdb64053da62a3e37b315eec97808d,경상북도_76,158,경상북도
182,5a95f83297d7e00c55a89c8a983fca0c,경기도_123,760,경기도
183,9639eb01098976f1009aa6a0026f967e,경기도_204,1054,경기도
184,519974660715c022fd8a1ee32e4331b4,경기도_13,921,경기도
185,0abd03e1be6c3c11813f4852615a9eb7,대전광역시_13,1365,대전광역시
186,1992a06eb4064a313164d1e740f5bb95,대전광역시_15,4699,대전광역시
187,dcf40777017d21ca8687db7b8cc893ea,경기도_245,847,경기도
188,17f267706bcce7bfe2f52d9bde3d24e6,세종특별자치시_2,1006,세종특별자치시
189,f87d16bd7bcbb2d8ea5b555346b773b9,충청남도_7,234,충청남도
190,e1a9b99c0fdd1a56f94529db2ee040ee,경기도_187,103,경기도
191,2dd8c112d290ad96b39cbf1d9b115d6a,경기도_120,1299,경기도
192,31d613e19f7ad9255c734f63a9838277,경기도_322,40,경기도
193,1e10112ce4f6df30952182fb378fa81d,강원도_24,230,강원도
194,d082449286c471971c02c79056e1c817,경상남도_17,1073,경상남도
195,63c2269bc624e6ff14d415c037e8e16d,대전광역시_9,1657,대전광역시
196,88db2a9cb1da688c571d8d9dd391fbb2,부산광역시_24,805,부산광역시
