,name,model,maker,prefix,postfix,kind
175,현대 HEV 쏘나타 DN8,쏘나타,현대,HEV,DN8,['Sedan']
176,르노삼성 SM6,SM6,르노삼성,0,0,['Sedan']
177,그랜드카니발,카니발,기아,그랜드,0,['van']
178,쌍용 G4 렉스턴 Y400,렉스턴,쌍용,G4,Y400,['Mid-Large suv']
179,그랜져 TG,0,0,0,0,
180,기아 카니발,카니발,기아,0,0,['van']
181,현대 넥쏘 FE,넥쏘,현대,0,FE,['Mid-Large suv']
182,QM5,QM5,르노삼성,0,0,['Small suv']
183,더뉴제네시스쿠페,제네시스,현대,0,0,Sedan
184,싼타페더스타일,싼타페,현대,0,0,Mid-Large suv
185,뉴SM3,SM3,르노삼성,0,0,Sedan
186,르노삼성 더뉴 QM6 HZG,QM6,르노삼성,0,0,['Mid-Large suv']
187,벨로스터JS,벨로스터,현대,0,JS,Sedan
188,현대 4세대(출시예정) 투싼 NX4,투싼,현대,0,0,['Mid-Large suv']
189,포르테,포르테,기아,0,0,['Sedan']
190,BMW X5 M F85,X5 M,BMW,0,0,Mid-Large suv
191,그랜저 HG,그랜저,현대,0,HG,Sedan
192,더뉴소렌토,쏘렌토,기아,0,0,['Mid-Large suv']
193,포터,,현대,0,0,
194,기아 니로,니로,기아,0,0,['Small suv']
195,올뉴쏘렌토,쏘렌토,기아,올뉴,0,['Mid-Large suv']
196,싼타페 DM,싼타페,현대,0,DM,['Mid-Large suv']
197,BMW 7 시리즈 F01/02,7 시리즈,BMW,0,F01/02,Sedan
198,아테온,아테온,폭스바겐,0,0,Sedan
199,기아 1열 봉고,1열 봉고,기아,0,0,['One row truck']
200,기아 프리미어 K7 YG,K7,기아,프리미어,YG,['Sedan']
201,올뉴K7,K7,기아,올뉴,0,['Sedan']
202,911카레라S,911,포르쉐,0,0,Coupe
203,아반떼 MD,아반떼,현대,0,MD,"['Sedan', 'Coupe']"
204,new E클래스,0,0,0,0,
205,코란도C,코란도,쌍용,C,0,"['Mid-Large suv', 'Small suv']"
206,기아 스포티지,스포티지,기아,0,0,['Mid-Large suv']
207,BMW 5 시리즈 E60/61,5 시리즈,BMW,0,0,Sedan
208,쉐보레/한국GM 스파크,스파크,쉐보레/한국GM,0,0,['Sedan']
209,현대 슈퍼캡 2 1열 포터 HR,1열 포터,현대,슈퍼캡 2,HR,['One row truck']
210,뉴스포티지 R,스포티지,기아,R,0,['Mid-Large suv']
211,기아 EV 니로 DE,니로,기아,EV,DE,['Small suv']
212,현대 아반떼 AD,아반떼,현대,0,AD,"['Sedan', 'Coupe']"
213,올란도,올란도,쉐보레,0,0,['Small suv']
214,E300,E-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
215,sm5뉴임프레션,0,0,0,0,
216,A6,A6,아우디,0,0,Sedan
217,클리오,클리오,르노,0,0,['Sedan']
218,기아 트럭 3 1열 봉고 PU,1열 봉고,기아,트럭 3,PU,['One row truck']
219,현대 그랜저 HG,그랜저,현대,0,HG,['Sedan']
220,벤츠 C-클래스,C-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
221,BMW 5 시리즈 GT,5 시리즈 GT,BMW,0,0,Sedan
222,기아 뉴R 쏘렌토 XM,쏘렌토,기아,뉴R,XM,['Mid-Large suv']
