,name,model,maker,prefix,postfix,kind
220,현대 제네시스 BH,제네시스,현대,0,0,Sedan
221,스포티지QL,스포티지,기아,0,0,Mid-Large suv
222,현대 쏘나타 dn8,쏘나타,현대,더럭셔리,TG,Sedan
223,현대 싼타페TM,싼타페,현대,0,0,Mid-Large suv
224,기아 K9,K9,기아,0,0,Sedan
225,기아 R 스포티지 SL,스포티지,기아,0,0,Mid-Large suv
226,현대 제네시스,제네시스,현대,0,0,Sedan
227,현대 그랜저IG하이브리드,그랜저,현대,0,0,Sedan
228,현대 그랜저IG,그랜저,현대,0,0,Sedan
229,기아 더뉴카니발,카니발,기아,0,0,van
230,현대 더뉴그랜저(IG),그랜저,현대,0,HD,Sedan
231,SM7,SM7,르노삼성,0,0,Sedan
232,기아 쏘렌토 mq4,쏘렌토,기아,0,TM,Mid-Large suv
233,기아 모하비,모하비,기아,0,0,Mid-Large suv
234,현대 벨로스터,벨로스터,현대,0,0,Sedan
235,아우디 Q7,Q7,아우디,0,0,Mid-Large suv
236,현대 엑센트,엑센트,현대,부스터,SK3,Sedan
237,쌍용 G4렉스턴,렉스턴,쌍용,0,IG,Mid-Large suv
238,볼보 XC60,XC60,볼보,0,0,Mid-Large suv
239,기아 올뉴모닝,모닝,기아,하이브리드,0,Sedan
240,벤츠 E-클래스 세단 W213,E-클래스,벤츠,0,0,Sedan
241,기아 올뉴K7,K7,기아,더뉴,YP,Sedan
242,현대 엑센트 RB,엑센트,현대,0,DM,Sedan
243,현대 아이오닉,아이오닉,현대,0,0,Sedan
244,폭스바겐 티구안,티구안,폭스바겐,0,0,Mid-Large suv
245,기아 스팅어,스팅어,기아,0,HG,Sedan
246,현대 스타렉스 TQ,스타렉스,현대,0,0,van
247,쉐보레/한국GM 2세대 트래버스,트래버스,쉐보레/한국GM,0,0,Mid-Large suv
248,테슬라 모델 3,모델 3,테슬라,0,0,Sedan
249,쉐보레/한국GM 콜로라도,콜로라도,쉐보레/한국GM,뉴,SA,Mid-Large suv
250,BMW X6,X6,BMW,0,CM,Mid-Large suv
251,볼보 XC90,XC90,볼보,0,0,Mid-Large suv
252,현대 아반떼ad,아반떼,현대,0,IG,Sedan
253,쉐보레/한국GM 트래버스,트래버스,쉐보레/한국GM,0,0,Mid-Large suv
254,현대 HEV 코나 OS,코나,현대,0,0,Small suv
255,현대 N 벨로스터 JS,벨로스터,현대,0,HD,Sedan
256,RAV4,RAV4,토요타,0,0,Mid-Large suv
257,기아 더 뉴 니로 DE,니로,기아,0,0,Small suv
258,현대 에쿠스,에쿠스,현대,뉴라이즈,LF,Sedan
259,윈스톰,윈스톰,쉐보레/한국GM,더뉴,VG,Mid-Large suv
260,현대 더뉴 아반떼 AD,아반떼,현대,0,0,Sedan
261,기아 포르테,포르테,기아,0,0,Sedan
262,기아 스포티지QL,스포티지,기아,0,DH,Mid-Large suv
263,기아 올뉴 모닝 JA,모닝,기아,0,0,Sedan
264,볼보 S90,S90,볼보,0,0,Sedan
265,기아 더뉴R 스포티지 SL,스포티지,기아,0,0,Mid-Large suv
266,NewSM7,SM7,르노삼성,0,0,Sedan
267,기아 스토닉 YB,스토닉,기아,0,0,Small suv
268,BMW 3 시리즈,3 시리즈,BMW,0,LF,Sedan
269,현대 HEV 그랜저 HG,그랜저,현대,0,NF,Sedan
270,기아 포르테 TD,포르테,기아,0,0,Sedan
271,기아 더뉴 모닝 TA,모닝,기아,0,BH,Sedan
272,카니발하이리무진,카니발,기아,0,QL,van
273,현대 HEV 쏘나타 YF,쏘나타,현대,0,0,Sedan
274,기아 F/L (출시예정) K3 BD,K3,기아,0,TM,Sedan
275,기아 올뉴 HEV K7 YG,K7,기아,0,0,Sedan
276,기아 올뉴 K7 YG,K7,기아,0,0,Sedan
277,현대 HEV 그랜저 IG,그랜저,현대,0,0,Sedan
