,name,maker,model,kind
306,혼다 어코드 2019년형,혼다,어코드,['Sedan']
307,아우디 A8,아우디,A8,['Sedan']
308,코란도투리스모,쌍용,코란도 투리스모,['van']
309,현대 2 1열 포터 HR,현대,1열 포터,['One row truck']
310,캡티바,,캡티바,
311,렉서스 RX 2019년형,렉서스,RX,['Mid-Large suv']
312,그랜져5G,현대,그랜저,['Sedan']
313,기아 R 카니발 VQ,기아,카니발,['van']
314,임팔라,쉐보레,임팔라,['Sedan']
315,기아 더뉴 쏘렌토 UM,기아,쏘렌토,['Mid-Large suv']
316,BMW5시리즈,BMW,5 시리즈,['Sedan']
317,파일럿,혼다,파일럿,['Mid-Large suv']
318,기아 그랜드 카니발 VQ,기아,카니발,['van']
319,벤츠 E-클래스 W213,벤츠,E-클래스,"['Coupe', 'Sedan']"
320,기아 프리미어 K7 YG F/L,기아,K7,['Sedan']
321,오피러스,기아,오피러스,['Sedan']
322,기아 더뉴 모하비 HM,기아,모하비,['Mid-Large suv']
323,현대 1열 포터 2 HR,현대,1열 포터,['One row truck']
324,현대 2열 포터 2 HR,현대,2열 포터,['Two row truck']
325,기아 더 뉴 하이브리드 니로 DE,기아,니로,['Small suv']
326,기아 CUV 스토닉 YB,기아,스토닉,['Small suv']
327,쌍용 베리 뉴 티볼리,쌍용,티볼리,['Small suv']
328,기아 스팅어 CK,기아,스팅어,['Sedan']
329,기아 트럭 1열 봉고 3 PU,기아,1열 봉고,['One row truck']
330,BMW X3,BMW,X3,['Mid-Large suv']
331,undefined undefined,,,
332,기아 PHEV 니로 DE,기아,니로,['Small suv']
333,기아 쏘울,기아,쏘울,['Small suv']
334,혼다 어코드 2020년형,혼다,어코드,['Sedan']
335,아반떼MD,현대,아반떼,"['Coupe', 'Sedan']"
336,아이오닉하이브리드,현대,아이오닉,['Sedan']
337,LF쏘나타,현대,쏘나타,['Sedan']
338,쉐보레/대우 말리부,쉐보레/한국GM,말리부,['Sedan']
339,BMW 7 시리즈,BMW,7 시리즈,['Sedan']
340,쉐보레/대우 트랙스,쉐보레/한국GM,트랙스,['Small suv']
341,쉐보레/대우 스파크,쉐보레/한국GM,스파크,['Sedan']
342,BMWNEW5시리즈,BMW,5 시리즈,['Sedan']
343,기아 더뉴 K3 YD,기아,K3,['Sedan']
344,렉서스 ES 2019년형,렉서스,ES,['Sedan']
345,G4 렉스턴,쌍용,렉스턴,['Mid-Large suv']
346,그랜드 스타렉스,현대,스타렉스,['van']
347,올 뉴 카니발,기아,카니발,['van']
348,BMW X3 G01,BMW,X3,['Mid-Large suv']
349,렉서스 ES 2021년형,렉서스,ES,['Sedan']
350,렉서스 ES 2020년형,렉서스,ES,['Sedan']
351,BMW 7 시리즈 G11/12,BMW,7 시리즈,['Sedan']
352,포르쉐 카이엔,포르쉐,카이엔,['Mid-Large suv']
353,쌍용 올 뉴 G4 렉스턴 Y400,쌍용,렉스턴,['Mid-Large suv']
354,벤츠 S-클래스 W222,벤츠,S-클래스,"['Coupe', 'Sedan']"
355,BMW X7,BMW,X7,['Mid-Large suv']
356,벤츠 A-클래스 세단 V177,벤츠,A-클래스,['Sedan']
357,아우디 더 뉴 A6 C8,아우디,A6,['Sedan']
358,르노삼성 캡처,르노삼성,캡처,['Small suv']
359,포르쉐 파나메라,포르쉐,파나메라,['Sedan']
360,렉서스 NX 2020년형,렉서스,NX,['Mid-Large suv']
361,렉서스 NX 2019년형,렉서스,NX,['Mid-Large suv']
362,그랜저,현대,그랜저,['Sedan']
363,기아 4세대 카니발 KA4,기아,카니발,['van']
364,QM6,르노삼성,QM6,['Mid-Large suv']
365,XM3,르노삼성,XM3,['Small suv']
366,현대 ix 투싼 LM,현대,투싼,['Mid-Large suv']
367,기아 K5,기아,K5,['Sedan']
368,제네시스 GV80 JX1,제네시스,GV80,['Mid-Large suv']
369,K5,기아,K5,['Sedan']
