,name,model,maker,prefix,postfix,kind
158,벤츠 더뉴 GLE-클래스 V167,GLE-클래스,벤츠,0,V167,Mid-Large suv
159,르노 캡쳐 ,0,0,0,0,
160,포드 5세대 익스플로러,익스플로러,포드,0,0,Mid-Large suv
161,포드 쿠가 2015년형,쿠가,포드,0,0,Mid-Large suv
162,인피니티 Q 시리즈,Q 시리즈,인피니티,0,0,Sedan
163,폭스바겐 티구안 2020년형,티구안,폭스바겐,0,0,Mid-Large suv
164,람보르기니 우라칸,우라칸,람보르기니,0,0,Coupe
165,포르쉐 카이맨,카이맨,포르쉐,0,0,Coupe
166,벤츠 GLK-클래스 X204,GLK-클래스,벤츠,0,X204,Mid-Large suv
167,캐딜락 CT5,CT5,캐딜락,0,0,Sedan
168,BMW 액티브투어러(5인승) 2 시리즈 F45,2 시리즈,BMW,0,0,Sedan
169,캐딜락 CT6 2021년형,CT6,캐딜락,0,0,Sedan
170,애스턴마틴 DBX,DBX,애스턴마틴,0,0,Mid-Large suv
171,혼다 파일럿 2018년형,파일럿,혼다,0,0,Mid-Large suv
172,벤츠 더뉴 B-클래스 W246,B-클래스,벤츠,더뉴,W246,Small suv
173,아우디 A6 C6,A6,아우디,0,C6,Sedan
174,아우디 Q7 2017년형,Q7,아우디,0,0,Mid-Large suv
175,BMW X4 M,X4 M,BMW,0,0,Mid-Large suv
176,BMW 1 시리즈 E82,1 시리즈,BMW,0,E82,Sedan
177,올뉴마이티,0,0,0,0,
178,아우디 S6,S6,아우디,0,0,Sedan
179,아우디 S7,S7,아우디,0,0,Sedan
180,현대 제네시스 쿠페 BK,제네시스 쿠페,현대,0,0,Coupe
181,링컨 컨티넨탈 2021년형,컨티넨탈,링컨,0,0,Sedan
182,혼다 어코드 2013년형,어코드,혼다,0,0,Sedan
183,벤츠 The New G-클래스 W464,G-클래스,벤츠,The New,W464,Mid-Large suv
184,펠리세이드,0,0,0,0,
185,아우디 E-tron,E-tron,아우디,0,0,Mid-Large suv
186,폭스바겐 골프 2017년형,골프,폭스바겐,0,0,Sedan
187,링컨 노틸러스 2020년형,노틸러스,링컨,0,0,Mid-Large suv
188,인피니티 Q 시리즈 2015년형,Q 시리즈,인피니티,0,0,Sedan
189,캐딜락 에스컬레이드 2021년형,에스컬레이드,캐딜락,0,0,Mid-Large suv
