,name,model,maker,prefix,postfix,kind
165,크라이슬러 비전 2021년형,비전,크라이슬러,0,0,['Sedan']
166,현대 출시예정 아반떼 CN7,아반떼,현대,0,CN7,"['Sedan', 'Coupe']"
167,토요타 시에나 2019년형,시에나,토요타,0,0,['van']
168,쉐보레/한국GM 더뉴 아베오 T300,아베오,쉐보레/한국GM,더뉴,T300,['Sedan']
169,포르쉐 박스터 2020년형,박스터,포르쉐,0,0,['Coupe']
170,BMW X6 E71/72,X6,BMW,0,E71/72,['Mid-Large suv']
171,덤프트럭 25.5T,덤프트럭,,0,0,
172,테슬라 모델 3 2019년형,모델 3,테슬라,0,0,['Sedan']
173,아우디 Q7 2019년형,Q7,아우디,0,0,['Mid-Large suv']
174,닛산 엑스테라 2020년형,엑스테라,닛산,0,0,['Mid-Large suv']
175,쏘나타DN,쏘나타,현대,0,0,['Sedan']
176,벤츠 G-클래스 W464,G-클래스,벤츠,0,W464,['Mid-Large suv']
177,트럭 3 1열 봉고 PU,1열 봉고,기아,트럭 3,PU,['One row truck']
178,인피니티 JX 2020년형,JX,인피니티,0,0,['Mid-Large suv']
179,닛산 NV밴 2020년형,NV밴,닛산,0,0,['van']
180,아우디A6,A6,아우디,0,0,['Sedan']
181,람보르기니 디아블로,디아블로,람보르기니,0,0,['Coupe']
182,폭스바겐 제타 2014년형,제타,폭스바겐,0,0,['Sedan']
183,쌍용 H뉴클래식 체어맨 W100,체어맨,쌍용,H뉴클래식,W100,['Sedan']
184,쉐보레/한국GM 2 다마스,다마스,쉐보레/한국GM,2,0,['Three row truck']
185,테슬라 모델 S 2019년형,모델 S,테슬라,0,0,['Sedan']
186,쉐보레/한국GM 캡티바 유로6,캡티바,쉐보레/한국GM,0,유로6,['Mid-Large suv']
187,지프 컴패스,컴패스,지프,0,0,['Mid-Large suv']
188,렉서스 LS 2019년형,LS,"['렉서스', '링컨']",0,0,
189,닛산 큐브 2011년형,큐브,닛산,0,0,['Sedan']
