,name,model,maker,prefix,postfix,kind,brand_maker,model_include
125,쉐보레/한국GM 캡티바,캡티바,홀덴,0,0,Mid-Large suv,True,True
126,BMW M3,M3,BMW,0,0,Sedan,True,True
127,BMW X1,X1,BMW,0,0,Mid-Large suv,True,True
128,폭스바겐 투아렉 2021년형,투아렉,폭스바겐,0,0,Mid-Large suv,True,True
129,포르쉐 911 2014년형,911,포르쉐,0,0,Coupe,True,True
130,쉐보레/한국GM 임팔라,임팔라,쉐보레,0,0,Sedan,True,True
131,현대 맥스크루즈 NC,맥스크루즈,현대,0,0,Mid-Large suv,True,True
132,마세라티 콰트로포르테 2018년형,콰트로포르테,마세라티,0,0,Sedan,True,True
133,노브스,노브스,대우,0,0,,True,False
134,미니 컨트리맨 R60,컨트리맨,미니,0,0,Small suv,True,True
135,푸조 5008 2021년형,5008,푸조,0,0,Small suv,True,True
136,폭스바겐 아테온 2020년형,아테온,폭스바겐,0,0,Sedan,True,True
137,쉐보레/한국GM 임팔라 10세대,임팔라,쉐보레,0,10세대,Sedan,True,True
138,벤츠 S-클래스 C222 S65 AMG 쿠페,S-클래스,벤츠,0,0,Sedan,True,True
139,벤츠 GLC-클래스 63 AMG X253,GLC-클래스,벤츠,0,0,Mid-Large suv,True,True
140,벤츠 CLK-클래스,CLK-클래스,벤츠,0,0,Sedan,True,True
141,벤츠 GLB-클래스 X247,GLB-클래스,벤츠,0,X247,Small suv,True,True
142,쉐보레/한국GM 뉴 크루즈 J300,크루즈,홀덴,뉴,J300,Sedan,True,True
143,지프 레니게이드 2021년형,레니게이드,지프,0,0,Small suv,True,True
144,랜드로버 디스커버리 스포츠 2017년형,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv,True,True
145,BMW M2 F87,M2,BMW,0,F87,Sedan,True,True
146,BMW X1 E84,X1,BMW,0,E84,Mid-Large suv,True,True
147,인피니티 Q 시리즈 2018년형,Q 시리즈,인피니티,0,0,Sedan,True,True
148,캐딜락 CTS 쿠페,CTS 쿠페,캐딜락,0,0,Sedan,True,True
149,플라잉스퍼,컨티넨탈 플라잉스퍼,벤틀리,0,0,,True,True
150,인피니티 QX,QX,인피니티,0,0,Mid-Large suv,True,True
151,혼다 어코드 2017년형,어코드,혼다,0,0,Sedan,True,True
152,캐딜락 CT6 2020년형,CT6,캐딜락,0,0,Sedan,True,True
153,볼보 S90 2020년형,S90,볼보,0,0,Sedan,True,True
154,닛산 올 뉴 알티마 F/L L33,알티마,닛산,올 뉴,F/L L33,Sedan,True,True
155,토요타 캠리 2017년형,캠리,토요타,0,0,Sedan,True,True
156,아우디 S8 2020년형,S8,아우디,0,0,Sedan,True,True
