,name,model,maker,prefix,postfix,kind,brand_maker,model_include
379,벤츠 GLE-클래스 2014년형,GLE-클래스,벤츠,0,0,Mid-Large suv,True,True
380,닛산 큐브 2012년형,큐브,닛산,0,0,Sedan,True,True
381,M30d,M 시리즈,인피니티,0,0,Sedan,True,True
382,쉐보레/대우 카마로,카마로,쉐보레,0,0,Coupe,True,True
383,닛산 엑스테라 2019년형,엑스테라,닛산,0,0,Mid-Large suv,True,True
384,볼보 S60 2006년형,S60,볼보,0,0,,True,True
385,C-HR,C-HR,토요타,0,0,Coupe,True,True
386,닛산 알티마 2019년형,알티마,닛산,0,0,Sedan,True,True
387,링컨 MKZ 2018년형,MKZ,링컨,0,0,Sedan,True,True
388,Touareg,투아렉,폭스바겐,0,0,,True,True
389,올뉴 K3 BD,K3,기아,올뉴,BD,Sedan,True,True
390,더프라임 싼타페 DM,싼타페,현대,더프라임,DM,Mid-Large suv,True,True
391,NX ,NX,렉서스,0,0,Mid-Large suv,True,True
392,쏘렌토 XM R,쏘렌토,기아,R,XM,Mid-Large suv,True,True
393,E-클래스 2015년형,E-클래스,벤츠,0,0,Sedan,True,True
394,트랙스 ,트랙스,쉐보레/한국GM,0,0,Small suv,True,True
395,크루즈 ,크루즈,홀덴,0,0,Sedan,True,True
396,EOS,EOS,폭스바겐,0,0,,True,False
397,R8,R8,아우디,0,0,Coupe,True,True
398,A8,A8,아우디,0,0,Sedan,True,True
399,F-Type,F타입,재규어,0,0,,True,True
400,2011 미니쿠퍼컨퍼터블,쿠퍼 컨버터블,미니,0,0,,True,True
401,포투,포투,스마트,0,0,Coupe,True,True
402,IS250C 컨퍼터블,IS,렉서스,0,0,Sedan,True,True
403,혼다INSIGHT,인사이트,혼다,0,0,,True,True
404,9-5시리즈,,,0,0,,True,False
405,BB,bB,토요타,0,0,,True,True
406,그레이스,그레이스,현대,0,0,van,True,True
407,지프커맨더,커맨더,지프,0,0,Mid-Large suv,True,True
408,현대 제네시스쿠페,제네시스 쿠페,현대,0,0,Sedan,True,True
409,BMW new3시리즈,3 시리즈,BMW,0,0,,True,True
410,렉서스 RX시리즈,RX,렉서스,0,0,,False,True
411,2011 미니 컨트리맨,컨트리맨,미니,0,0,Small suv,True,True
412,S7,S7,아우디,0,0,Sedan,True,True
