,store_addr,latlng,predicted_name
164,전남 순천시 백강로,"('127.522375064621', '34.9415118471291')",GS칼텍스 동부주유소
165,서울특별시 광진구 긴고랑로,"('127.084700914894', '37.5611969592364')",기아오토큐 중곡점
166,서울시 금천구 시흥동,"('126.925012344183', '37.4504087407698')",Unknown
167,경기도 용인시 기흥구,"('127.1197995844', '37.2596098203239')",Unknown
168,청주시 흥덕구 무심서로,"('127.470239170074', '36.6587866340305')",쌍용자동차 청주정비사업소
169,중구 대종로 360(부사동),"(36.3186388, 127.431988)",대한민국 대전광역시 중구 부사동 89-6
170,충주시 금봉대로 740(연수동),"('127.946770746127', '36.9727340891025')",르노삼성자동차서비스 조운
171,경기도 광명시 광명로,"('126.850969736646', '37.4685281893237')",기아오토큐 광명점
172,전라남도 순천시 매안1길,"('127.552949416028', '34.9270022446756')",매직덴트
173,경기 파주시 문발동,"('126.699949673334', '37.7235885015948')",기아오토큐 신화모터스
174,광주시 서구 매월1로,"('126.857665514266', '35.1128183317119')",풍암자동차매매2단지
175,서울 강남구 개포동1229-7,"('127.04576011302', '37.4769854931137')",3M썬팅 개포점
176,전라북도 전주시 덕진구,"('127.144388934126', '35.8552035317834')",Unknown
177,전북 전주시 덕진구,"('127.144388934126', '35.8552035317834')",Unknown
178,부산광역시 서구 보수대로,"('129.018965513105', '35.1150122728265')",기아오토큐 서대신점
179,서울시 서대문구 증가로,"('126.91192977088458', '37.583209401102444')",기아오토큐 가좌점
180,경북 안동시 경동로,"('128.70678787110054', '36.5690687616057')",현대자동차블루핸즈 태화점
181,인천시 부평구 경인로,"('126.74515876464666', '37.48491959690571')",GS칼텍스 동양7주유소
182,경기도 과천시 중앙로,"('126.998101405082', '37.4482016043512')",기아오토큐 과천점
183,울산시 남구 번영로,"('129.3296964957402', '35.53266222814662')",기아 달동대리점
184,서울시 강북구 덕릉로,"('127.021543796482', '37.6344038768046')",국제가스공업
185,울산광역시 중구 염포로,"('129.346969070981', '35.5604653067923')",동부주유소
186,전라북도 전주시 완산구,"('127.152557091072', '35.8148243087693')",Unknown
187,서울시 동작구 상도로,"('126.954744816121', '37.4945625560816')",현대자동차블루핸즈 상도점
